week,week_start,followers,impressions,paid_spend,sessions,qualified_leads,qualified_lead_rate,revenue
1,2025-08-04,2446,19496,2380.37,1158,52,0.04491,27751.07
2,2025-08-11,2474,32856,2797.82,1349,58,0.04299,25936.16
3,2025-08-18,2526,28912,2405.14,1367,56,0.04097,21739.39
4,2025-08-25,2581,30251,2259.93,1127,47,0.0417,24463.29
5,2025-09-01,2596,38355,2393.8,1314,56,0.04262,25074.71
6,2025-09-08,2620,44195,2502.05,1309,44,0.03361,23010.19
7,2025-09-15,2664,31925,3464.87,1493,46,0.03081,22307.04
8,2025-09-22,2701,47923,2420.84,1446,64,0.04426,29323.57
9,2025-09-29,2743,21050,2913.03,1416,61,0.04308,29471.32
10,2025-10-06,2773,29999,2222.16,1371,68,0.0496,38518.78
11,2025-10-13,2827,40956,2726.65,1379,53,0.03843,30369.16
12,2025-10-20,2880,42758,2408.5,1263,52,0.04117,24367.61
13,2025-10-27,2923,47254,2087.24,1253,49,0.03911,23193.17
14,2025-11-03,2981,47585,1993.21,1278,54,0.04225,28132.08
15,2025-11-10,3029,43986,1663.01,1187,56,0.04718,23577.44
16,2025-11-17,3059,35824,1935.42,1098,38,0.03461,18328.15
17,2025-11-24,3107,44930,1553.06,1158,43,0.03713,19937.17
18,2025-12-01,3135,40508,1245.65,1088,14,0.01287,6738.53
19,2025-12-08,3189,31316,1215.89,1266,32,0.02528,13493.27
20,2025-12-15,3231,37470,1731.27,1340,34,0.02537,12999.64
21,2025-12-22,3270,37590,2264.48,1199,24,0.02002,8572.92
22,2025-12-29,3303,48674,1866.35,1204,24,0.01993,9765.5
23,2026-01-05,3362,50350,1880.11,1101,23,0.02089,10146.42
24,2026-01-12,3402,44974,2143.5,1223,21,0.01717,9444.83
25,2026-01-19,3438,37381,2625.79,1388,36,0.02594,20366.5
26,2026-01-26,3475,41783,2392.91,1437,27,0.01879,14107.81
27,2026-02-02,3524,48501,2307.81,1258,28,0.02226,11619.2
28,2026-02-09,3571,36492,2937.48,1362,34,0.02496,16424.75
29,2026-02-16,3619,51794,2798.47,1243,27,0.02172,11983.46
30,2026-02-23,3667,38656,3238.06,1482,32,0.02159,14406.82
31,2026-03-02,3739,36892,2809.33,1296,38,0.02932,18036.2
32,2026-03-09,3775,38815,2327.83,1248,37,0.02965,18396.29
33,2026-03-16,3810,37066,2242.26,1190,50,0.04202,22367.93
34,2026-03-23,3841,54543,3200.48,1536,46,0.02995,23934.73
35,2026-03-30,3891,50945,3129.64,1350,55,0.04074,22309.06
36,2026-04-06,3949,59385,2365.63,1239,40,0.03228,18613.19
37,2026-04-13,3990,53909,2165.36,1517,52,0.03428,31204.11
38,2026-04-20,4020,48211,2655.56,1281,51,0.03981,24306.61
39,2026-04-27,4050,45835,1647.87,1069,39,0.03648,21041.56
40,2026-05-04,4101,48942,1596.58,1347,47,0.03489,22078.68
41,2026-05-11,4154,42094,2014.65,1517,79,0.05208,39120.83
42,2026-05-18,4203,47144,1582.0,1052,21,0.01996,9702.99
43,2026-05-25,4236,32136,1664.76,1094,35,0.03199,15964.86
44,2026-06-01,4281,36520,1594.43,1161,49,0.0422,20798.88
45,2026-06-08,4325,42797,1782.48,1356,61,0.04499,29729.92
46,2026-06-15,4370,42428,2197.05,1188,48,0.0404,20194.56
47,2026-06-22,4424,54143,1830.03,1219,41,0.03363,20484.03
48,2026-06-29,4469,39226,2123.82,1328,39,0.02937,20335.96
49,2026-07-06,4521,41805,1331.83,1131,49,0.04332,23718.92
50,2026-07-13,4564,61978,2146.96,1304,43,0.03298,19354.95
51,2026-07-20,4610,49153,2013.73,1252,58,0.04633,28339.16
52,2026-07-27,4661,66667,2016.7,1196,49,0.04097,21998.5
